Common name	Scientific name	Status	No.	No. Back
Grey Tinamou	Tinamus tao		43	81
Solitary Tinamou	Tinamus solitarius		43	39
Black Tinamou	Tinamus osgoodi		8	1
Great Tinamou	Tinamus major		89	246
White-throated Tinamou	Tinamus guttatus		36	365
Highland Tinamou	Nothocercus bonapartei		34	17
Tawny-breasted Tinamou	Nothocercus julius		44	9
Hooded Tinamou	Nothocercus nigrocapillus		11	5
Berlepsch's Tinamou	Crypturellus berlepschi		8	0
Cinereous Tinamou	Crypturellus cinereus		177	266
Little Tinamou	Crypturellus soui		267	400
Tepui Tinamou	Crypturellus ptaritepui		2	0
Brown Tinamou	Crypturellus obsoletus		166	149
Undulated Tinamou	Crypturellus undulatus		139	600
Pale-browed Tinamou	Crypturellus transfasciatus		29	128
Brazilian Tinamou	Crypturellus strigulosus		52	121
Grey-legged Tinamou	Crypturellus duidae		6	5
Red-legged Tinamou	Crypturellus erythropus		30	12
Yellow-legged Tinamou	Crypturellus noctivagus		36	60
Black-capped Tinamou	Crypturellus atrocapillus		19	38
Thicket Tinamou	Crypturellus cinnamomeus		41	36
Slaty-breasted Tinamou	Crypturellus boucardi		19	16
Choco Tinamou	Crypturellus kerriae		5	0
Variegated Tinamou	Crypturellus variegatus		51	89
Rusty Tinamou	Crypturellus brevirostris		4	0
Bartlett's Tinamou	Crypturellus bartletti		32	82
Small-billed Tinamou	Crypturellus parvirostris		53	39
Barred Tinamou	Crypturellus casiquiare		3	0
Tataupa Tinamou	Crypturellus tataupa		83	69
Red-winged Tinamou	Rhynchotus rufescens		48	99
Huayco Tinamou	Rhynchotus maculicollis		8	6
Taczanowski's Tinamou	Nothoprocta taczanowskii		6	1
Ornate Tinamou	Nothoprocta ornata		11	0
Chilean Tinamou	Nothoprocta perdicaria		6	0
Brushland Tinamou	Nothoprocta cinerascens		18	2
Andean Tinamou	Nothoprocta pentlandii		34	3
Curve-billed Tinamou	Nothoprocta curvirostris		3	0
White-bellied Nothura	Nothura boraquira		16	7
Lesser Nothura	Nothura minor		8	0
Darwin's Nothura	Nothura darwinii		17	7
Spotted Nothura	Nothura maculosa		43	17
Dwarf Tinamou	Taoniscus nanus		38	1
Elegant Crested Tinamou	Eudromia elegans		12	0
Quebracho Crested Tinamou	Eudromia formosa		8	0
Puna Tinamou	Tinamotis pentlandii		9	0
Patagonian Tinamou	Tinamotis ingoufi		1	0
Greater Rhea	Rhea americana		20	0
Lesser Rhea	Rhea pennata		3	0
Horned Screamer	Anhima cornuta		61	21
Northern Screamer	Chauna chavaria		13	1
Southern Screamer	Chauna torquata		72	41
White-faced Whistling Duck	Dendrocygna viduata		89	22
Black-bellied Whistling Duck	Dendrocygna autumnalis		127	42
West Indian Whistling Duck	Dendrocygna arborea		10	2
Fulvous Whistling Duck	Dendrocygna bicolor		33	4
Swan Goose	Anser cygnoides		6	4
Taiga Bean Goose	Anser fabalis		52	12
Tundra Bean Goose	Anser serrirostris		26	7
Pink-footed Goose	Anser brachyrhynchus		43	2
Greylag Goose	Anser anser		281	995
Greater White-fronted Goose	Anser albifrons		133	56
Lesser White-fronted Goose	Anser erythropus		11	1
Bar-headed Goose	Anser indicus		8	16
Snow Goose	Chen caerulescens		59	27
Ross's Goose	Chen rossii		5	0
Emperor Goose	Chen canagica		5	0
Canada Goose	Branta canadensis		230	702
Cackling Goose	Branta hutchinsii		34	5
Brant Goose	Branta bernicla		71	18
Barnacle Goose	Branta leucopsis		94	68
Coscoroba Swan	Coscoroba coscoroba		23	7
Black Swan	Cygnus atratus		15	4
Black-necked Swan	Cygnus melancoryphus		8	0
Mute Swan	Cygnus olor		158	57
Trumpeter Swan	Cygnus buccinator		40	6
Tundra Swan	Cygnus columbianus		67	33
Whooper Swan	Cygnus cygnus		174	130
Flying Steamer Duck	Tachyeres patachonicus		12	0
Fuegian Steamer Duck	Tachyeres pteneres		5	0
Torrent Duck	Merganetta armata		5	0
Comb Duck	Sarkidiornis sylvicola		3	0
Knob-billed Duck	Sarkidiornis melanotos		1	0
Egyptian Goose	Alopochen aegyptiaca		94	87
Orinoco Goose	Neochen jubata		25	2
Andean Goose	Chloephaga melanoptera		42	1
Upland Goose	Chloephaga picta		18	1
Kelp Goose	Chloephaga hybrida		7	2
Ashy-headed Goose	Chloephaga poliocephala		3	1
Ruddy-headed Goose	Chloephaga rubidiceps		8	0
Common Shelduck	Tadorna tadorna		96	166
Ruddy Shelduck	Tadorna ferruginea		69	59
Muscovy Duck	Cairina moschata		25	4
Wood Duck	Aix sponsa		46	28
Brazilian Teal	Amazonetta brasiliensis		40	4
Ringed Teal	Callonetta leucophrys		5	1
Crested Duck	Lophonetta specularioides		30	5
Bronze-winged Duck	Speculanas specularis		4	0
Gadwall	Anas strepera		97	119
Falcated Duck	Anas falcata		9	4
Chiloe Wigeon	Anas sibilatrix		24	7
Eurasian Wigeon	Anas penelope		108	105
American Wigeon	Anas americana		41	18
American Black Duck	Anas rubripes		13	2
Mallard	Anas platyrhynchos		272	659
Mottled Duck	Anas fulvigula		10	8
Mexican Duck	Anas diazi		9	6
Eastern Spot-billed Duck	Anas zonorhyncha		17	8
Blue-winged Teal	Anas discors		73	19
Cinnamon Teal	Anas cyanoptera		14	2
Red Shoveler	Anas platalea		4	0
Northern Shoveler	Anas clypeata		66	115
White-cheeked Pintail	Anas bahamensis		5	0
Yellow-billed Teal	Anas flavirostris		34	5
Yellow-billed Pintail	Anas georgica		38	18
Northern Pintail	Anas acuta		37	72
Garganey	Anas querquedula		59	14
Baikal Teal	Anas formosa		6	0
Green-winged Teal	Anas carolinensis		42	24
Silver Teal	Anas versicolor		10	0
Puna Teal	Anas puna		17	0
Rosy-billed Pochard	Netta peposaca		11	0
Southern Pochard	Netta erythrophthalma		3	0
Canvasback	Aythya valisineria		9	1
Redhead	Aythya americana		15	1
Common Pochard	Aythya ferina		46	9
Ring-necked Duck	Aythya collaris		29	0
Tufted Duck	Aythya fuligula		67	28
Greater Scaup	Aythya marila		16	0
Lesser Scaup	Aythya affinis		8	1
Steller's Eider	Polysticta stelleri		4	0
Spectacled Eider	Somateria fischeri		6	0
King Eider	Somateria spectabilis		7	0
Common Eider	Somateria mollissima		53	36
Harlequin Duck	Histrionicus histrionicus		16	1
Surf Scoter	Melanitta perspicillata		15	1
Velvet Scoter	Melanitta fusca		1	4
White-winged Scoter	Melanitta deglandi		1	0
Common Scoter	Melanitta nigra		22	2
Black Scoter	Melanitta americana		19	7
Long-tailed Duck	Clangula hyemalis		63	21
Bufflehead	Bucephala albeola		14	0
Common Goldeneye	Bucephala clangula		92	31
Barrow's Goldeneye	Bucephala islandica		22	0
Smew	Mergellus albellus		4	0
Hooded Merganser	Lophodytes cucullatus		24	4
Brazilian Merganser	Mergus octosetaceus		10	0
Common Merganser	Mergus merganser		84	17
Red-breasted Merganser	Mergus serrator		24	4
Black-headed Duck	Heteronetta atricapilla		9	0
Masked Duck	Nomonyx dominicus		7	0
Ruddy Duck	Oxyura jamaicensis		22	8
Lake Duck	Oxyura vittata		1	0
Maccoa Duck	Oxyura maccoa		2	0
Plain Chachalaca	Ortalis vetula		70	52
Grey-headed Chachalaca	Ortalis cinereiceps		27	4
Chestnut-winged Chachalaca	Ortalis garrula		35	3
Rufous-vented Chachalaca	Ortalis ruficauda		41	13
Rufous-headed Chachalaca	Ortalis erythroptera		29	12
Rufous-bellied Chachalaca	Ortalis wagleri		27	4
West Mexican Chachalaca	Ortalis poliocephala		25	24
Chaco Chachalaca	Ortalis canicollis		72	93
White-bellied Chachalaca	Ortalis leucogastra		17	3
Speckled Chachalaca	Ortalis guttata		72	109
Little Chachalaca	Ortalis motmot		29	23
Buff-browed Chachalaca	Ortalis superciliaris		2	1
Band-tailed Guan	Penelope argyrotis		39	8
Bearded Guan	Penelope barbata		26	11
Baudo Guan	Penelope ortoni		12	1
Andean Guan	Penelope montagnii		108	21
Marail Guan	Penelope marail		14	2
Rusty-margined Guan	Penelope superciliaris		23	2
Red-faced Guan	Penelope dabbenei		21	0
Crested Guan	Penelope purpurascens		72	10
Cauca Guan	Penelope perspicax		46	10
White-winged Guan	Penelope albipennis		20	9
Spix's Guan	Penelope jacquacu		45	184
Dusky-legged Guan	Penelope obscura		82	9
White-crested Guan	Penelope pileata		8	1
Chestnut-bellied Guan	Penelope ochrogaster		8	0
White-browed Guan	Penelope jacucaca		1	1
Trinidad Piping Guan	Pipile pipile		1	0
Blue-throated Piping Guan	Pipile cumanensis		29	47
Red-throated Piping Guan	Pipile cujubi		13	4
Black-fronted Piping Guan	Pipile jacutinga		10	0
Wattled Guan	Aburria aburri		52	27
Sickle-winged Guan	Chamaepetes goudotii		32	2
Highland Guan	Penelopina nigra		37	65
Horned Guan	Oreophasis derbianus		15	7
Nocturnal Curassow	Nothocrax urumutum		19	2
Crestless Curassow	Mitu tomentosum		17	1
Salvin's Curassow	Mitu salvini		16	1
Razor-billed Curassow	Mitu tuberosum		23	69
Alagoas Curassow	Mitu mitu		0	0
Helmeted Curassow	Pauxi pauxi		6	0
Horned Curassow	Pauxi unicornis		0	0
Great Curassow	Crax rubra		22	2
Blue-billed Curassow	Crax alberti		25	0
Yellow-knobbed Curassow	Crax daubentoni		6	0
Black Curassow	Crax alector		15	1
Wattled Curassow	Crax globulosa		12	3
Bare-faced Curassow	Crax fasciolata		39	8
Red-billed Curassow	Crax blumenbachii		8	1
Helmeted Guineafowl	Numida meleagris		69	39
Bearded Wood Partridge	Dendrortyx barbatus		7	0
Long-tailed Wood Partridge	Dendrortyx macroura		29	5
Buffy-crowned Wood Partridge	Dendrortyx leucophrys		11	5
Mountain Quail	Oreortyx pictus		64	172
